보안등위치명,설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
부안읍1357-1,1,전북특별자치도 부안군 부안읍 석정로 137,전북특별자치도 부안군 부안읍 동중리 40-3,35.73357248,126.7364976293,,,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍1357,1,,전북특별자치도 부안군 부안읍 동중리 39-1,35.73342103,126.7366836,,한전주,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍1356,1,,전북특별자치도 부안군 부안읍 선은리 557,35.74060349,126.7348899,,,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍1355,1,,전북특별자치도 부안군 부안읍 선은리 561,35.74070942,126.7346782,,,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍1354,1,,전북특별자치도 부안군 부안읍 선은리 563-4,35.74093226,126.7344425,,,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍1353,1,,전북특별자치도 부안군 부안읍 선은리 585-21,35.74118133,126.7341291,,,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
계화면472,1,전북특별자치도 부안군 계화면 돈지로 178,전북특별자치도 부안군 계화면 의복리 147-5,35.75108905,126.6401256,,한전주,063-580-3604,계화면사무소,2026-03-27,4791000,전북특별자치도 부안군
부안읍1352-1,1,,전북특별자치도 부안군 부안읍 선은리 592-10,35.74092471,126.7337241,,,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍1352,1,,전북특별자치도 부안군 부안읍 선은리 585-34,35.74125214,126.7339971992,,,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍1351,1,,전북특별자치도 부안군 부안읍 동중리 119-1,35.72806907,126.7368454,,,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍1350,1,전북특별자치도 부안군 부안읍 돌모산로 63,전북특별자치도 부안군 부안읍 내요리 203-2,35.69307884,126.7366455,,한전주,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍135-1,1,,전북특별자치도 부안군 부안읍 내요리 1247,35.68713626,126.7337783,,,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍135,1,전북특별자치도 부안군 부안읍 돌모산로 110-33,전북특별자치도 부안군 부안읍 내요리 산 47-5,35.68876775,126.732935,,,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍1349-2,1,전북특별자치도 부안군 부안읍 신흥길 68-20,전북특별자치도 부안군 부안읍 신흥리 35-5,35.70550284,126.7276206,,,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍1349-1,1,전북특별자치도 부안군 부안읍 신흥길 68-11,전북특별자치도 부안군 부안읍 신흥리 34,35.70543486,126.7271576,,,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍1349,1,전북특별자치도 부안군 부안읍 신흥길 68,전북특별자치도 부안군 부안읍 신흥리 87-1,35.70510764,126.7268976,,한전주,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍1347,1,,전북특별자치도 부안군 부안읍 서외리 614-106,35.7301865792,126.7297049281,,,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
계화면471,1,전북특별자치도 부안군 계화면 돈지2길 13-13,전북특별자치도 부안군 계화면 의복리 125-15,35.75137763,126.6409388,,한전주,063-580-3604,계화면사무소,2026-03-27,4791000,전북특별자치도 부안군
부안읍1346,1,전북특별자치도 부안군 부안읍 성터길 9,전북특별자치도 부안군 부안읍 서외리 279,35.73052759,126.7298009869,,,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍1345,1,,전북특별자치도 부안군 부안읍 서외리 273-1,35.7306141145,126.7295226,,,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍1344,1,전북특별자치도 부안군 부안읍 성터길 9,전북특별자치도 부안군 부안읍 서외리 279,35.73052759,126.7298009869,,,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍1343,1,,전북특별자치도 부안군 부안읍 서외리 163-4,35.73014313,126.7300921,,,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍1342,1,전북특별자치도 부안군 부안읍 성터길 9,전북특별자치도 부안군 부안읍 서외리 279,35.73052759,126.7298009869,,,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍1341,1,전북특별자치도 부안군 부안읍 서외2길 9-6,전북특별자치도 부안군 부안읍 서외리 78-4,35.72692642,126.7301763,,한전주,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍1340,1,,전북특별자치도 부안군 부안읍 서외리 431-54,35.72713007,126.7298304,,,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍134-2,1,전북특별자치도 부안군 부안읍 돌모산로 110-33,전북특별자치도 부안군 부안읍 내요리 산 47-5,35.68876775,126.732935,,,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍134,1,,전북특별자치도 부안군 부안읍 신흥리 190-9,35.69049842,126.7313218601,,,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍1386,1,전북특별자치도 부안군 부안읍 동문안2길 3-6,전북특별자치도 부안군 부안읍 동중리 262,35.73358513,126.7351445,,,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍1384,1,전북특별자치도 부안군 부안읍 구영1길 9-3,전북특별자치도 부안군 부안읍 선은리 373,35.73482715,126.7366946,,,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍1383,1,전북특별자치도 부안군 부안읍 선은로 92,전북특별자치도 부안군 부안읍 선은리 375-36,35.73532394,126.7367973,,,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍1382,1,,전북특별자치도 부안군 부안읍 선은리 371-3,35.73498385,126.737886,,,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍1381,1,,전북특별자치도 부안군 부안읍 선은리 368-4,35.73486023,126.7382380006,,한전주,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
계화면475,1,전북특별자치도 부안군 계화면 돈지2길 13-49,전북특별자치도 부안군 계화면 의복리 122-10,35.75186322,126.6408421,,한전주,063-580-3604,계화면사무소,2026-03-27,4791000,전북특별자치도 부안군
부안읍1380,1,,전북특별자치도 부안군 부안읍 선은리 368-8,35.73477913,126.7381324,,한전주,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍138,1,,전북특별자치도 부안군 부안읍 내요리 432-14,35.68823726,126.7364898,,한전주,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍1379,1,,전북특별자치도 부안군 부안읍 선은리 365-3,35.73466824,126.7387311,,한전주,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍1378,1,,전북특별자치도 부안군 부안읍 선은리 365-4,35.7345683,126.7386553,,한전주,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍1375,1,,전북특별자치도 부안군 부안읍 선은리 350-1,35.7338444,126.7400727967,,한전주,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍1374,1,,전북특별자치도 부안군 부안읍 선은리 351-3,35.73353051,126.7402524,,한전주,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍1373,1,,전북특별자치도 부안군 부안읍 선은리 123-31,35.73294465,126.7410943906,,한전주,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍1372,1,,전북특별자치도 부안군 부안읍 선은리 125-7,35.73227445,126.7417087617,,한전주,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍1371,1,,전북특별자치도 부안군 부안읍 선은리 123-36,35.7318623668,126.7422786,,한전주,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍1370,1,,전북특별자치도 부안군 부안읍 선은리 149-22,35.73134788,126.7426964,,한전주,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
계화면474,1,전북특별자치도 부안군 계화면 동돈길 7,전북특별자치도 부안군 계화면 의복리 177,35.75183759,126.6401681,,한전주,063-580-3604,계화면사무소,2026-03-27,4791000,전북특별자치도 부안군
부안읍137,1,,전북특별자치도 부안군 부안읍 내요리 432-21,35.68817856,126.7360488,,한전주,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍1363,1,,전북특별자치도 부안군 부안읍 신흥리 212,35.6950045563,126.7288486,,한전주,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍1362,1,전북특별자치도 부안군 부안읍 선돌로 106,전북특별자치도 부안군 부안읍 신흥리 242,35.69140703,126.7268058,,한전주,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍1361-6,1,,전북특별자치도 부안군 부안읍 선은리 340-6,35.73262416,126.7397692,,,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍1361-5,1,,전북특별자치도 부안군 부안읍 선은리 340-5,35.73281155,126.7395894,,,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍1361-4,1,,전북특별자치도 부안군 부안읍 선은리 340-4,35.73313365,126.7393632,,,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍1361-3,1,,전북특별자치도 부안군 부안읍 선은리 353-1,35.73337095,126.7396469,,,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍1361-2,1,,전북특별자치도 부안군 부안읍 선은리 351-2,35.73345529,126.7399551,,,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍1361-1`,1,,전북특별자치도 부안군 부안읍 선은리 351-3,35.73353051,126.7402524,,,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍1361,1,,전북특별자치도 부안군 부안읍 선은리 687-4,35.73408793,126.7392598,,,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
계화면473,1,전북특별자치도 부안군 계화면 동돈길 1,전북특별자치도 부안군 계화면 의복리 205-1,35.7517784,126.6397158,,한전주,063-580-3604,계화면사무소,2026-03-27,4791000,전북특별자치도 부안군
부안읍1360,1,,전북특별자치도 부안군 부안읍 봉덕리 563-18,35.72322109,126.7386571,,한전주,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍136,1,,전북특별자치도 부안군 부안읍 내요리 52-3,35.68867465,126.7360852,,한전주,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍1359,1,,전북특별자치도 부안군 부안읍 동중리 39-1,35.73342103,126.7366836,,한전주,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍1358,1,,전북특별자치도 부안군 부안읍 동중리 40-9,35.73348399,126.7366716,,,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍1421,1,전북특별자치도 부안군 부안읍 돌모산로 110-49,전북특별자치도 부안군 부안읍 신흥리 209-3,35.69018291,126.7312334,,한전주,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍1420,1,전북특별자치도 부안군 부안읍 순환남로 440-8,전북특별자치도 부안군 부안읍 옹중리 812-1,35.69932274,126.7520162,,,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍142,1,전북특별자치도 부안군 부안읍 석제길 35,전북특별자치도 부안군 부안읍 내요리 478-9,35.68580845,126.7369368,,한전주,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍1419,1,,전북특별자치도 부안군 부안읍 연곡리 320-5,35.70721749,126.7389753,,한전주,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
계화면477,1,,전북특별자치도 부안군 계화면 창북리 1034-16,35.76336155,126.6853103,,한전주,063-580-3604,계화면사무소,2026-03-27,4791000,전북특별자치도 부안군
부안읍1418,1,전북특별자치도 부안군 부안읍 석동길 68-8,전북특별자치도 부안군 부안읍 연곡리 459,35.70953033,126.7352038,,한전주,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍1417,1,전북특별자치도 부안군 부안읍 석동길 68-8,전북특별자치도 부안군 부안읍 연곡리 459,35.70953033,126.7352038,,한전주,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍1416,1,전북특별자치도 부안군 부안읍 연곡로 2-1,전북특별자치도 부안군 부안읍 연곡리 395-8,35.7005087,126.7343738,,,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍1415,1,,전북특별자치도 부안군 부안읍 신운리 484-1,35.72662467,126.7635504,,,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍1414,1,전북특별자치도 부안군 부안읍 번영로 81-3,전북특별자치도 부안군 부안읍 서외리 432-14,35.72688035,126.7292265,,건축물,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍1413-1,1,,전북특별자치도 부안군 부안읍 신운리 309-10,35.73137948,126.7543711873,,,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍1413,1,,전북특별자치도 부안군 부안읍 신운리 309-13,35.73129769,126.7543479,,한전주,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍1412,1,,전북특별자치도 부안군 부안읍 신운리 427-31,35.7330157006,126.7548853,,,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍1411,1,,전북특별자치도 부안군 부안읍 신운리 266-6,35.73179801,126.7547933,,,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍1410,1,전북특별자치도 부안군 부안읍 덕촌길 14-15,전북특별자치도 부안군 부안읍 선은리 산 1-5,35.73324363,126.7464471,,한전주,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
계화면476-1,1,,전북특별자치도 부안군 계화면 창북리 4598-16,35.7633695,126.6761651,,,063-580-3604,계화면사무소,2026-03-27,4791000,전북특별자치도 부안군
부안읍141,1,전북특별자치도 부안군 부안읍 석제길 24,전북특별자치도 부안군 부안읍 내요리 424,35.68698918,126.7369403,,한전주,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍1409,1,,전북특별자치도 부안군 부안읍 봉덕리 152-3,35.72287161,126.7423147716,,한전주,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍1408,1,,전북특별자치도 부안군 부안읍 봉덕리 570-27,35.72042445,126.740989,,,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍1407,1,,전북특별자치도 부안군 부안읍 봉덕리 208,35.71929432,126.7457879066,,한전주,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍1406,1,,전북특별자치도 부안군 부안읍 연곡리 158,35.71016445,126.7456956021,,한전주,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍1405-1,1,,전북특별자치도 부안군 부안읍 연곡리 188-3,35.70940217,126.7428506731,,,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍1405,1,전북특별자치도 부안군 부안읍 수정길 27-4,전북특별자치도 부안군 부안읍 서외리 9-6,35.72585657,126.7347139,,,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍1404,1,,전북특별자치도 부안군 부안읍 내요리 143-7,35.69651046,126.7433202,,한전주,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍1403,1,,전북특별자치도 부안군 부안읍 내요리 831-1,35.69112055,126.7355494,,한전주,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍1402-1,1,전북특별자치도 부안군 부안읍 구덕길 76-44,전북특별자치도 부안군 부안읍 내요리 901,35.6813721,126.7247667,,,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
계화면476,1,,전북특별자치도 부안군 계화면 궁안리 1469-1,35.76133206,126.6843374,,한전주,063-580-3604,계화면사무소,2026-03-27,4791000,전북특별자치도 부안군
부안읍1402,1,,전북특별자치도 부안군 부안읍 내요리 906-12,35.68092166,126.7239343,,한전주,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍1401,1,전북특별자치도 부안군 부안읍 구영2길 12-21,전북특별자치도 부안군 부안읍 동중리 103-8,35.73131275,126.7384744,,,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍140,1,전북특별자치도 부안군 부안읍 석제길 34-17,전북특별자치도 부안군 부안읍 내요리 437-1,35.6868541,126.7360917,,한전주,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍1391,1,,전북특별자치도 부안군 부안읍 동중리 12-1,35.73404889,126.7355352,,한전주,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍139,1,전북특별자치도 부안군 부안읍 석제길 11,전북특별자치도 부안군 부안읍 내요리 408-4,35.68809493,126.7366688,,한전주,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍1449,1,,전북특별자치도 부안군 부안읍 봉덕리 600-1,35.72102882,126.7358733,,,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
계화면480,1,전북특별자치도 부안군 계화면 간재로 515,전북특별자치도 부안군 계화면 창북리 1070-19,35.76748626,126.6883279,,한전주,063-580-3604,계화면사무소,2026-03-27,4791000,전북특별자치도 부안군
부안읍1448,1,전북특별자치도 부안군 부안읍 문정로 35,전북특별자치도 부안군 부안읍 봉덕리 677-1,35.71545422,126.7302918,,,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍1447,1,,전북특별자치도 부안군 부안읍 연곡리 477-6,35.7118845898,126.7288943791,,,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍1446,1,전북특별자치도 부안군 부안읍 소금샘길 13-15,전북특별자치도 부안군 부안읍 서외리 413-14,35.72723832,126.7255732,,한전주,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍1444,1,전북특별자치도 부안군 부안읍 불곶이길 85,전북특별자치도 부안군 부안읍 봉덕리 22-1,35.72282433,126.751617,,한전주,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍1443,1,,전북특별자치도 부안군 부안읍 봉덕리 120-5,35.72285298,126.7439682,,한전주,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍1442,1,전북특별자치도 부안군 부안읍 석정로 223-2,전북특별자치도 부안군 부안읍 봉덕리 789-2,35.72574867,126.7381752,,한전주,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍1440,1,전북특별자치도 부안군 부안읍 덕림로 36-14,전북특별자치도 부안군 부안읍 신흥리 294-6,35.68023304,126.7218906,,,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍144,1,전북특별자치도 부안군 부안읍 석제길 28,전북특별자치도 부안군 부안읍 내요리 422-1,35.68667297,126.7368679,,한전주,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍1439,1,전북특별자치도 부안군 부안읍 덕림로 36-14,전북특별자치도 부안군 부안읍 신흥리 294-6,35.68023304,126.7218906,,,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍1438,1,,전북특별자치도 부안군 부안읍 신흥리 726-7,35.70138388,126.731034,,한전주,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
계화면479,1,,전북특별자치도 부안군 계화면 창북리 1070-44,35.7671027316,126.6878078338,,한전주,063-580-3604,계화면사무소,2026-03-27,4791000,전북특별자치도 부안군
부안읍1437,1,,전북특별자치도 부안군 부안읍 신흥리 24-2,35.70210484,126.7301718,,한전주,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍1436,1,,전북특별자치도 부안군 부안읍 외하리 609-1,35.68868773,126.7546564,,한전주,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍1435,1,,전북특별자치도 부안군 부안읍 외하리 93-24,35.68970701,126.7521216,,한전주,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍1434,1,전북특별자치도 부안군 부안읍 외하안길 83,전북특별자치도 부안군 부안읍 외하리 189-1,35.68823925,126.7487749,,한전주,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍1433,1,,전북특별자치도 부안군 부안읍 외하리 149,35.6884802,126.7494119,,한전주,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍1432,1,전북특별자치도 부안군 부안읍 외하안길 101,전북특별자치도 부안군 부안읍 외하리 144-1,35.68911479,126.7497666,,한전주,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍1430,1,전북특별자치도 부안군 부안읍 외하안길 103,전북특별자치도 부안군 부안읍 외하리 135,35.68919967,126.7501299,,한전주,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍143,1,전북특별자치도 부안군 부안읍 석제길 37-1,전북특별자치도 부안군 부안읍 내요리 478-10,35.68577968,126.7367715,,,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍1429,1,,전북특별자치도 부안군 부안읍 외하리 133-3,35.6894738,126.750559632,,한전주,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍1428,1,,전북특별자치도 부안군 부안읍 내요리 43-1,35.68934519,126.7493874,,한전주,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
계화면478,1,,전북특별자치도 부안군 계화면 창북리 3150,35.7619625491,126.6842372,,한전주,063-580-3604,계화면사무소,2026-03-27,4791000,전북특별자치도 부안군
계화면046,1,,전북특별자치도 부안군 계화면 계화리 52-6,35.79744278,126.6378544,,,063-580-3604,계화면사무소,2026-03-27,4791000,전북특별자치도 부안군
부안읍1427,1,,전북특별자치도 부안군 부안읍 외하리 139-3,35.68897969,126.748907,,한전주,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍1426,1,,전북특별자치도 부안군 부안읍 외하리 153-10,35.68884871,126.748445,,한전주,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍1425,1,,전북특별자치도 부안군 부안읍 내요리 1111-1,35.68062488,126.7334126162,,한전주,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍1424,1,전북특별자치도 부안군 부안읍 순환남로 306-7,전북특별자치도 부안군 부안읍 내요리 194-1,35.69758113,126.7379668,,,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍1423,1,전북특별자치도 부안군 부안읍 순환남로 306-7,전북특별자치도 부안군 부안읍 내요리 194-1,35.69758113,126.7379668,,한전주,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍1422,1,전북특별자치도 부안군 부안읍 순환남로 318-4,전북특별자치도 부안군 부안읍 내요리 192,35.69800815,126.7391533,,한전주,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍1480-1,1,전북특별자치도 부안군 부안읍 구영2길 12-11,전북특별자치도 부안군 부안읍 동중리 103-7,35.73138288,126.7382854,,,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍1480,1,전북특별자치도 부안군 부안읍 구영2길 9,전북특별자치도 부안군 부안읍 동중리 102-6,35.7315297,126.7376751,,,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍148,1,전북특별자치도 부안군 부안읍 내요석하길 18-13,전북특별자치도 부안군 부안읍 내요리 560-1,35.68407248,126.7372734,,한전주,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍1479,1,,전북특별자치도 부안군 부안읍 봉덕리 574-91,35.72495975,126.7334239,,,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍1478,1,전북특별자치도 부안군 부안읍 외하로 150-26,전북특별자치도 부안군 부안읍 외하리 505-2,35.68765007,126.7510599,,,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍1477,1,전북특별자치도 부안군 부안읍 옹중서원길 8-13,전북특별자치도 부안군 부안읍 옹중리 588-1,35.7042101,126.7409785,,,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍1476,1,전북특별자치도 부안군 부안읍 회성길 49,전북특별자치도 부안군 부안읍 연곡리 34-3,35.70410039,126.7486158,,,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍1475,1,전북특별자치도 부안군 부안읍 순환남로 525-19,전북특별자치도 부안군 부안읍 행중리 311,35.70795692,126.7528653,,,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍1474,1,,전북특별자치도 부안군 부안읍 모산리 638-1,35.71572598,126.748614636,2018,한전주,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
계화면482,1,전북특별자치도 부안군 계화면 간재로 508-6,전북특별자치도 부안군 계화면 창북리 1073-23,35.76754876,126.689101,,한전주,063-580-3604,계화면사무소,2026-03-27,4791000,전북특별자치도 부안군
부안읍1473,1,전북특별자치도 부안군 부안읍 송산길 71,전북특별자치도 부안군 부안읍 선은리 460,35.73723753,126.7430995888,2018,한전주,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍1472,1,전북특별자치도 부안군 부안읍 돌모산로 110-33,전북특별자치도 부안군 부안읍 내요리 산 47-5,35.68876775,126.732935,,,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍1471,1,전북특별자치도 부안군 부안읍 수봉길 24-9,전북특별자치도 부안군 부안읍 봉덕리 19-6,35.72270886,126.7509115,,한전주,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
부안읍1470,1,,전북특별자치도 부안군 부안읍 봉덕리 6-51,35.7230912185,126.7489762709,,한전주,063-580-3531,부안읍행정복지센터,2026-03-27,4791000,전북특별자치도 부안군
