교량명,시설물종별등급구분,도로종류,도로노선명,도로노선번호,도로노선방향,시도명,시군구명,시군구코드,소재지지번주소,교량시작점위도,교량시작점경도,교량종료점위도,교량종료점경도,교량연장,교량폭,교량보도폭,교량높이,차로수,상하행선분리여부,상부구조형식,교량준공연도,최종안전점검일자,최종안전점검결과,최종안전점검유형,내진설계적용여부,내진성능확보여부,교량보수보강내역,교량보수보강비용,설계활하중,허용통행하중,하부통과제한높이,관리기관명,관리기관전화번호,데이터기준일자
천포2교,99,일반국도,일반국도20호선,20,03,경상북도,경주시,47130,경상북도 경주시 건천읍 천포리, 35.851891, 129.090883, 35.851941, 129.090872,10,19.5,1,5.6,4,N,라멘교,1999,2024-12-20,A,정기점검,미적용,N,,,DB-24,43.2,,부산청 포항사무소,054-260-2570,2024-12-31
천포3교,99,일반국도,일반국도20호선,20,03,경상북도,경주시,47130,경상북도 경주시 건천읍 천포리, 35.856410, 129.089622, 35.856488, 129.089624,11.8,25.4,1,5.6,4,N,라멘교,1999,2024-12-20,A,정기점검,미적용,N,,,DB-24,43.2,,부산청 포항사무소,054-260-2570,2024-12-31
용명육교,02,일반국도,일반국도20호선,20,03,경상북도,경주시,47130,경상북도 경주시 건천읍 천포리, 35.858769, 129.090829, 35.860403, 129.092653,241.5,20.4,1.4,9.3,4,N,PSCI거더교,1999,2024-01-18,A,정기점검,미적용,N,,,DB-24,43.2,9.3,부산청 포항사무소,054-260-2570,2024-12-31
호당교,99,일반국도,일반국도28호선,28,03,경상북도,영천시,47230,경상북도 영천시 청통면 호당리, 36.001188, 128.892324, 36.001044, 128.892595,15,28.6,8.6,6,4,N,라멘교,2011,2024-11-11,A,정기점검,미적용,N,,,DB-24,43.2,,부산청 포항사무소,054-260-2570,2024-12-31
신덕교(국도),03,일반국도,일반국도28호선,28,03,경상북도,영천시,47230,경상북도 영천시 신녕면 신덕리, 36.036722, 128.806749, 36.036533, 128.807799,90,21,1,9.2,4,N,강박스거더교,2011,2024-12-02,B,정기점검,미적용,N,,,DB-24,43.2,,부산청 포항사무소,054-260-2570,2024-12-31
청련교,99,일반국도,일반국도34호선,34,03,경상북도,영덕군,47770,경상북도 영덕군 영덕읍 덕곡리, 36.415725, 129.372234, 36.415485, 129.372564,36,20.5,11.7,4.2,2,N,PSCI거더교,2016,2024-12-18,A,정기점검,미적용,N,,,DB-24,43.2,,부산청 포항사무소,054-260-2570,2024-12-31
선구교,99,일반국도,일반국도88호선,88,03,경상북도,울진군,47930,경상북도 울진군 온정면 선구리, 36.751311, 129.336501, 36.750993, 129.336561,33,12.5,1,3.2,2,N,PSCI거더교,2016,2024-11-30,A,정기점검,미적용,N,,,DB-24,43.2,,부산청 포항사무소,054-260-2570,2024-12-31
봉길교,99,일반국도,일반국도31호선,31,03,경상북도,경주시,47130,경상북도 경주시 양북면 봉길리, 35.736881, 129.483828, 35.737031, 129.483794,17,18.5,1,6,2,N,라멘교,2010,2024-12-20,A,정기점검,미적용,N,,,DB-24,43.2,,부산청 포항사무소,054-260-2570,2024-12-31
내남2교,01,일반국도,일반국도7호선,7,03,경상북도,경주시,47130,경상북도 경주시 내남면 이조리, 35.753921, 129.201869, 35.747780, 129.205323,745,25.7,1,6.9,4,N,강박스거더교,2018,2024-12-12,A,정기점검,미적용,N,,,DB-24,43.2,,부산청 포항사무소,054-260-2570,2024-12-31
내남1교,02,일반국도,일반국도7호선,7,03,경상북도,경주시,47130,경상북도 경주시 내남면 이조리, 35.757008, 129.200227, 35.754342, 129.201651,330,20.9,1,5,4,N,강박스거더교,2018,2024-12-12,A,정기점검,미적용,N,,,DB-24,43.2,,부산청 포항사무소,054-260-2570,2024-12-31
학림1교,99,일반국도,일반국도28호선,28,02,경상북도,포항시 북구,47113,경상북도 포항시 북구 흥해읍 학천리, 36.078154, 129.334434, 36.078435, 129.334464,30.8,8,1,5,1,Y,라멘교,2015,2024-12-20,A,정기점검,미적용,N,,,DB-24,43.2,,부산청 포항사무소,054-260-2570,2024-12-31
학림2교,99,일반국도,일반국도28호선,28,02,경상북도,포항시 북구,47113,경상북도 포항시 북구 흥해읍 학천리, 36.078102, 129.335023, 36.078402, 129.335137,30,9,1,4,1,Y,RC슬래브교,2015,2024-12-20,A,정기점검,미적용,N,,,DB-24,43.2,,부산청 포항사무소,054-260-2570,2024-12-31
다산교,02,일반국도,일반국도31호선,31,03,경상북도,경주시,47130,경상북도 경주시 강동면 다산리, 36.048172, 129.263866, 36.047588, 129.264701,105,20.4,1,5,4,N,PSCI거더교,2018,2024-12-24,A,정기점검,미적용,N,,,DB-24,43.2,4.5,부산청 포항사무소,054-260-2570,2024-12-31
앞실천교,99,일반국도,일반국도31호선,31,03,경상북도,경주시,47130,경상북도 경주시 강동면 단구리, 36.056270, 129.255829, 36.055986, 129.256114,40,20.4,1,5,4,N,RC슬래브교,2018,2024-12-20,A,정기점검,미적용,N,,,DB-24,43.2,,부산청 포항사무소,054-260-2570,2024-12-31
벽계천교,99,일반국도,일반국도31호선,31,03,경상북도,경주시,47130,경상북도 경주시 강동면 단구리, 36.060272, 129.251457, 36.060095, 129.251752,35,20.5,1,5,4,N,RC슬래브교,2018,2024-12-20,A,정기점검,미적용,N,,,DB-24,43.2,,부산청 포항사무소,054-260-2570,2024-12-31
단구IC교,99,일반국도,일반국도31호선,31,03,경상북도,경주시,47130,경상북도 경주시 강동면 단구리, 36.061371, 129.244486, 36.061435, 129.244904,40,20.4,1,5,4,N,RC슬래브교,2018,2024-12-20,A,정기점검,미적용,N,,,DB-24,43.2,,부산청 포항사무소,054-260-2570,2024-12-31
내단천교,99,일반국도,일반국도31호선,31,03,경상북도,포항시 북구,47113,경상북도 포항시 북구 기계면 내단리, 36.060536, 129.239069, 36.060688, 129.240067,80,20.4,1,5,4,N,RC슬래브교,2018,2024-12-20,A,정기점검,미적용,N,,,DB-24,43.2,,부산청 포항사무소,054-260-2570,2024-12-31
현내천교,99,일반국도,일반국도31호선,31,03,경상북도,포항시 북구,47113,경상북도 포항시 북구 기계면 현내리, 36.074451, 129.193826, 36.074748, 129.193573,27,29.4,1,45,4,N,RC슬래브교,2018,2024-12-20,A,정기점검,미적용,N,,,DB-24,43.2,,부산청 포항사무소,054-260-2570,2024-12-31
지가1교,99,일반국도,일반국도31호선,31,03,경상북도,포항시 북구,47113,경상북도 포항시 북구 기계면 지가리, 36.082561, 129.183140, 36.082645, 129.182995,15,20.4,1,45,4,N,RC슬래브교,2018,2024-12-20,A,정기점검,미적용,N,,,DB-24,43.2,,부산청 포항사무소,054-260-2570,2024-12-31
지가2교,99,일반국도,일반국도31호선,31,03,경상북도,포항시 북구,47113,경상북도 포항시 북구 기계면 지가리, 36.082986, 129.182324, 36.083217, 129.181917,24,26.5,1,5,4,N,RC슬래브교,2018,2024-12-20,A,정기점검,미적용,N,,,DB-24,43.2,,부산청 포항사무소,054-260-2570,2024-12-31
지가3교,99,일반국도,일반국도31호선,31,03,경상북도,포항시 북구,47113,경상북도 포항시 북구 기계면 지가리, 36.087114, 129.171837, 36.087200, 129.171460,35.4,20.5,1,45,4,N,RC슬래브교,2018,2024-12-20,A,정기점검,미적용,N,,,DB-24,43.2,,부산청 포항사무소,054-260-2570,2024-12-31
지가4교,99,일반국도,일반국도31호선,31,03,경상북도,포항시 북구,47113,경상북도 포항시 북구 기계면 지가리, 36.087720, 129.168488, 36.087744, 129.168283,15,20.5,1,45,4,N,RC슬래브교,2018,2024-12-20,A,정기점검,미적용,N,,,DB-24,43.2,,부산청 포항사무소,054-260-2570,2024-12-31
호암3교,99,일반국도,일반국도14호선,14,03,경상북도,경주시,47130,경상북도 경주시 양북면 호암리, 35.832743, 129.406086, 35.832894, 129.406234,24,11,1,2.5,2,N,라멘교,2018,2024-11-11,A,정기점검,미적용,N,,,DB-24,43.2,,부산청 포항사무소,054-260-2570,2024-12-31
화곡2교(내남),02,일반국도,일반국도7호선,7,02,경상북도,경주시,47130,경상북도 경주시 내남면 망성리, 35.819158, 129.143931, 35.814306, 129.144183,105.2,11.4,0,5,2,Y,PSCI거더교,2018,2024-12-12,A,정기점검,미적용,N,,,DB-24,43.2,,부산청 포항사무소,054-260-2570,2024-12-31
효현대교(내남),01,일반국도,일반국도7호선,7,02,경상북도,경주시,47130,경상북도 경주시 건천읍 화천리, 35.819158, 129.143931, 35.814306, 129.144183,255,20.4,0,5,3,Y,강박스거더교,2018,2024-12-20,A,정기점검,미적용,N,,,DB-24,43.2,,부산청 포항사무소,054-260-2570,2024-12-31
노곡교(상),02,일반국도,일반국도35호선,35,01,경상북도,경주시,47130,경상북도 경주시 내남면 노곡리, 35.727527, 129.203814, 35.728424, 129.203946,101.1,11,0.9,5,2,Y,RC슬래브교,2006,2024-09-18,B,정밀점검,미적용,N,,,DB-24,43.2,,부산청 포항사무소,054-260-2570,2024-12-31
호암교,99,일반국도,일반국도14호선,14,03,경상북도,경주시,47130,경상북도 경주시 양북면 호암리, 35.827631, 129.406620, 35.828035, 129.406450,48,11,1,2.5,2,N,라멘교,2018,2024-11-11,A,정기점검,미적용,N,,,DB-24,43.2,0,부산청 포항사무소,054-260-2570,2024-12-31
홍계1교,99,일반국도,일반국도14호선,14,03,경상북도,경주시,47130,경상북도 경주시 양북면 용동리, 35.835087, 129.412328, 35.835291, 129.412268,24,11,1,2.5,2,N,라멘교,2018,2024-11-11,A,정기점검,미적용,N,,,DB-24,43.2,,부산청 포항사무소,054-260-2570,2024-12-31
문산교,99,일반국도,일반국도7호선,7,02,경상북도,경주시,47130,경상북도 경주시 외동읍 구어리, 35.693455, 129.322100, 35.693641, 129.321452,40,11.4,7.9,0,2,Y,기타,2017,2024-12-20,A,정기점검,미적용,N,,,DB-24,43.2,,부산청 포항사무소,054-260-2570,2024-12-31
신림2교,02,일반국도,일반국도36호선,36,03,경상북도,울진군,47930,경상북도 울진군 울진읍 신림리, 36.996024, 129.361443, 36.999874, 129.364432,496,11.4,1,49,2,N,PSCI거더교,2019,2024-07-24,B,정기점검,미적용,N,,,DB-24,43.2,0,부산청 포항사무소,054-260-2570,2024-12-31
대흥4교,01,일반국도,일반국도36호선,36,03,경상북도,울진군,47930,경상북도 울진군 울진읍 대흥리, 36.980504, 129.317484, 36.982193, 129.321657,425,11.4,0.9,20,2,N,PSCI거더교,2019,2024-06-24,B,정기점검,미적용,N,,,DB-24,43.2,,부산청 포항사무소,054-260-2570,2024-12-31
대흥6교,02,일반국도,일반국도36호선,36,03,경상북도,울진군,47930,경상북도 울진군 울진읍 대흥리, 36.985526, 129.330950, 36.985853, 129.332523,126,11.4,0.9,10,2,N,PSCI거더교,2019,2024-06-24,B,정기점검,미적용,N,,,DB-24,43.2,,부산청 포항사무소,054-260-2570,2024-12-31
고성1교,02,일반국도,일반국도36호선,36,03,경상북도,울진군,47930,경상북도 울진군 울진읍 고성리, 37.004596, 129.369515, 37.005687, 129.372580,280,11.4,0.9,10,2,N,PSCI거더교,2019,2024-07-24,B,정기점검,미적용,N,,,DB-24,43.2,,부산청 포항사무소,054-260-2570,2024-12-31
고성2교,02,일반국도,일반국도36호선,36,03,경상북도,울진군,47930,경상북도 울진군 울진읍 고성리, 37.006229, 129.382270, 37.007948, 129.387277,485,11.4,0.9,10,2,N,PSCI거더교,2019,2024-07-24,B,정기점검,미적용,N,,,DB-24,43.2,,부산청 포항사무소,054-260-2570,2024-12-31
수평교,01,일반국도,일반국도36호선,36,03,경상북도,울진군,47930,경상북도 울진군 금강송면 삼근리, 36.940172, 129.240275, 36.941493, 129.244966,444,15,3,10,2,N,PSC박스거더교,2020,2024-12-23,A,정기점검,미적용,N,,,DB-24,43.2,,부산청 포항사무소,054-260-2570,2024-12-31
하원1교,02,일반국도,일반국도36호선,36,03,경상북도,울진군,47930,경상북도 울진군 금강송면 하원리, 36.948222, 129.253576, 36.949742, 129.255131,220,11.4,0.9,15,2,N,기타,2020,2024-12-31,A,정기점검,미적용,N,,,DB-24,43.2,,부산청 포항사무소,054-260-2570,2024-12-31
하원2교,01,일반국도,일반국도36호선,36,03,경상북도,울진군,47930,경상북도 울진군 금강송면 하원리, 36.953958, 129.259380, 36.955376, 129.261106,220,11.4,0.9,10,2,N,PSC박스거더교,2020,2024-12-31,A,정기점검,미적용,N,,,DB-24,43.2,,부산청 포항사무소,054-260-2570,2024-12-31
하원3교,02,일반국도,일반국도36호선,36,03,경상북도,울진군,47930,경상북도 울진군 금강송면 하원리, 36.963286, 129.279477, 36.963942, 129.281276,176,11.4,0.9,15,2,N,기타,2020,2024-12-31,A,정기점검,미적용,N,,,DB-24,43.2,0,부산청 포항사무소,054-260-2570,2024-12-31
하원4교,02,일반국도,일반국도36호선,36,03,경상북도,울진군,47930,경상북도 울진군 울진읍 대흥리, 36.965273, 129.285026, 36.965574, 129.286247,116,11.4,0.9,15,2,N,기타,2020,2024-12-31,A,정기점검,미적용,N,,,DB-24,43.2,,부산청 포항사무소,054-260-2570,2024-12-31
대흥1교,02,일반국도,일반국도36호선,36,03,경상북도,울진군,47930,경상북도 울진군 울진읍 대흥리, 36.966815, 129.294312, 36.967408, 129.296031,170,11.4,0.9,15,2,N,기타,2020,2024-12-31,A,정기점검,미적용,N,,,DB-24,43.2,,부산청 포항사무소,054-260-2570,2024-12-31
대흥2교,02,일반국도,일반국도36호선,36,03,경상북도,울진군,47930,경상북도 울진군 울진읍 대흥리, 36.972221, 129.303122, 36.973557, 129.304805,210,11.4,0.9,5.4,2,N,기타,2020,2024-12-31,A,정기점검,미적용,N,,,DB-24,43.2,,부산청 포항사무소,054-260-2570,2024-12-31
대흥3교,02,일반국도,일반국도36호선,36,03,경상북도,울진군,47930,경상북도 울진군 울진읍 대흥리, 36.978030, 129.311301, 36.978580, 129.312693,135,11.4,0.9,15,2,N,PSCI거더교,2020,2024-12-31,A,정기점검,미적용,N,,,DB-24,43.2,,부산청 포항사무소,054-260-2570,2024-12-31
명도교,99,일반국도,일반국도36호선,36,03,경상북도,울진군,47930,경상북도 울진군 울진읍 명도리, 37.010995, 129.393433, 37.011153, 129.394424,69,10,1,0,2,N,PSCI거더교,2019,2024-12-20,A,정기점검,미적용,N,,,DB-24,43.2,,부산청 포항사무소,054-260-2570,2024-12-31
금호교,01,일반국도,일반국도35호선,35,03,경상북도,영천시,47230,경상북도 영천시 화남면 선천리, 36.064417, 128.899686, 36.065666, 128.900443,150,12.4,0.9,4.5,2,N,기타,2020,2024-12-12,A,정기점검,미적용,N,,,DB-24,43.2,,부산청 포항사무소,054-260-2570,2024-12-31
용전교,02,일반국도,일반국도31호선,31,03,경상북도,청송군,47750,경상북도 청송군 청송읍 송생리, 36.387146, 129.079183, 36.389650, 129.080008,232.5,11.5,0,5.4,2,N,기타,2020,2024-12-20,A,정기점검,미적용,N,,,DB-24,43.2,,부산청 포항사무소,054-260-2570,2024-12-31
청운1교,02,일반국도,일반국도31호선,31,03,경상북도,청송군,47750,경상북도 청송군 청송읍 금곡리, 36.405953, 129.067440, 36.406863, 129.065784,184,11.5,0,5.4,2,N,PSCI거더교,2020,2024-12-20,A,정기점검,미적용,N,,,DB-24,43.2,,부산청 포항사무소,054-260-2570,2024-12-31
하서교(상),02,일반국도,일반국도31호선,31,01,경상북도,경주시,47130,경상북도 경주시 양남면 하서리, 35.678026, 129.461996, 35.678773, 129.462712,100,14.5,2.5,0,2,Y,RC슬래브교,2002,2024-06-14,A,정기점검,미적용,N,,,DB-24,43.2,,부산청 포항사무소,054-260-2570,2024-12-31
송생교,99,일반국도,일반국도31호선,31,03,경상북도,청송군,47750,경상북도 청송군 청송읍 송생리, 36.391368, 129.080003, 36.390939, 129.080037,45,19.4,1.5,5,2,N,PSC슬래브교,2020,2024-12-20,A,정기점검,미적용,N,,,DB-24,43.2,,부산청 포항사무소,054-260-2570,2024-12-31
청운2교,99,일반국도,일반국도31호선,31,03,경상북도,청송군,47750,경상북도 청송군 청송읍 청운리, 36.394220, 129.079013, 36.393992, 129.079122,25,12.4,1.4,5,2,N,PSC슬래브교,2020,2024-12-20,A,정기점검,미적용,N,,,DB-24,43.2,,부산청 포항사무소,054-260-2570,2024-12-31
곡강천교,02,일반국도,일반국도7호선,7,03,경상북도,포항시 북구,47113,경상북도 포항시 북구 흥해읍 용전리, 36.116947, 129.332226, 36.119055, 129.332232,226,20.9,0,5,4,N,PSCI거더교,2022,2024-12-12,A,정기점검,미적용,N,,,DB-24,43.2,,부산청 포항사무소,054-260-2570,2024-12-31
용천2교,02,일반국도,일반국도7호선,7,02,경상북도,포항시 북구,47113,경상북도 포항시 북구 흥해읍 덕장리, 36.132926, 129.347898, 36.133554, 129.347800,60,7.9,0,5,2,Y,강박스거더교,2022,2024-12-12,A,정기점검,미적용,N,,,DB-24,43.2,,부산청 포항사무소,054-260-2570,2024-12-31
초곡교,02,일반국도,일반국도7호선,7,03,경상북도,포항시 북구,47113,경상북도 포항시 북구 흥해읍 옥성리, 36.101128, 129.341450, 36.101459, 129.340882,60,20.9,0,5,4,N,강박스거더교,2022,2024-12-12,A,정기점검,미적용,N,,,DB-24,43.2,,부산청 포항사무소,054-260-2570,2024-12-31
마산교,99,일반국도,일반국도7호선,7,03,경상북도,포항시 북구,47113,경상북도 포항시 북구 흥해읍 마산리, 36.111939, 129.332271, 36.112506, 129.332269,45.3,21.1,1.1,5,4,N,PSCI거더교,2022,2024-12-20,A,정기점검,미적용,N,,,DB-24,43.2,,부산청 포항사무소,054-260-2570,2024-12-31
흥해육교,99,일반국도,일반국도7호선,7,01,경상북도,포항시 북구,47113,경상북도 포항시 북구 흥해읍 마산리, 36.107557, 129.332730, 36.107722, 129.333240,35,4.1,0.6,7,2,Y,PSCI거더교,2022,2024-12-20,A,정기점검,미적용,N,,,DB-24,43.2,,부산청 포항사무소,054-260-2570,2024-12-31
용전교,99,일반국도,일반국도7호선,7,03,경상북도,포항시 북구,47113,경상북도 포항시 북구 흥해읍 용전리, 36.122368, 129.332281, 36.122713, 129.332381,35.1,20.9,0,5,4,N,PSCI거더교,2022,2024-12-20,A,정기점검,미적용,N,,,DB-24,43.2,,부산청 포항사무소,054-260-2570,2024-12-31
덕장천교,99,일반국도,일반국도7호선,7,03,경상북도,포항시 북구,47113,경상북도 포항시 북구 흥해읍 용전리, 36.129087, 129.340499, 36.129459, 129.341515,90.6,21,1,5,4,N,PSCI거더교,2022,2024-12-20,A,정기점검,미적용,N,,,DB-24,43.2,,부산청 포항사무소,054-260-2570,2024-12-31
용천1교,99,일반국도,일반국도7호선,7,03,경상북도,포항시 북구,47113,경상북도 포항시 북구 흥해읍 덕장리, 36.130394, 129.343980, 36.130481, 129.344152,15,20.9,0.9,5,4,N,라멘교,2022,2024-12-20,A,정기점검,미적용,N,,,DB-24,43.2,,부산청 포항사무소,054-260-2570,2024-12-31
삼자현교,99,일반국도,일반국도31호선,31,03,경상북도,청송군,47750,경상북도 청송군 부남면 대전리, 36.318922, 129.052596, 36.319646, 129.052693,80,12.4,2.2,2,2,N,PSCI거더교,2023,2024-12-20,A,정기점검,미적용,N,,,DB-24,43.2,,부산청 포항사무소,054-260-2570,2024-12-31
제2효현대교(포항),01,일반국도,일반국도7호선,7,01,경상북도,경주시,47130,경상북도 경주시 광명동 , 35.818237, 129.144310, 35.823843, 129.145723,600,11.4,0,0,2,Y,강박스거더교,2023,2024-12-20,A,정기점검,미적용,N,,,DB-24,43.2,,부산청 포항사무소,054-260-2570,2024-12-31
제2효현대교(울산),01,일반국도,일반국도7호선,7,02,경상북도,경주시,47130,경상북도 경주시 광명동 , 35.823898, 129.145398, 35.816829, 129.144062,607,11.4,0,0,2,Y,강박스거더교,2023,2024-12-20,A,정기점검,미적용,N,,,DB-24,43.2,,부산청 포항사무소,054-260-2570,2024-12-31
상구IC교,02,일반국도,일반국도7호선,7,01,경상북도,경주시,47130,경상북도 경주시 현곡면 상구리, 35.864980, 129.158568, 35.865356, 129.159740,160.2,8.4,4.9,0,1,Y,강박스거더교,2024,2024-12-31,A,정기점검,미적용,N,,,DB-24,43.2,,부산청 포항사무소,054-260-2570,2024-12-31
충효IC교,99,일반국도,일반국도7호선,7,03,경상북도,경주시,47130,경상북도 경주시 효현동 , 35.834973, 129.159334, 35.835147, 129.159544,30,20.9,0,0,4,N,PSCI거더교,2024,2024-12-31,A,정기점검,미적용,N,,,DB-24,43.2,,부산청 포항사무소,054-260-2570,2024-12-31
충효3교,99,일반국도,일반국도7호선,7,03,경상북도,경주시,47130,경상북도 경주시 충효동 , 35.837181, 129.161176, 35.837445, 129.161277,30,30.3,0,0,4,N,PSCI거더교,2024,2024-12-31,A,정기점검,미적용,N,,,DB-24,43.2,,부산청 포항사무소,054-260-2570,2024-12-31
충효2교,99,일반국도,일반국도7호선,7,03,경상북도,경주시,47130,경상북도 경주시 충효동 , 35.845027, 129.159150, 35.844771, 129.159246,30,21.1,0,0,4,N,PSCI거더교,2024,2024-12-31,A,정기점검,미적용,N,,,DB-24,43.2,,부산청 포항사무소,054-260-2570,2024-12-31
충효1교,99,일반국도,일반국도7호선,7,03,경상북도,경주시,47130,경상북도 경주시 충효동 , 35.861539, 129.157033, 35.861252, 129.156937,35,35.4,0,0,4,N,PSCI거더교,2024,2024-12-31,A,정기점검,미적용,N,,,DB-24,43.2,,부산청 포항사무소,054-260-2570,2024-12-31
상구교,99,일반국도,일반국도7호선,7,03,경상북도,경주시,47130,경상북도 경주시 현곡면 상구리, 35.865103, 129.159130, 35.864855, 129.159021,35,20.9,0,0,4,N,PSCI거더교,2024,2024-12-31,A,정기점검,미적용,N,,,DB-24,43.2,,부산청 포항사무소,054-260-2570,2024-12-31
덕성IC교,99,일반국도,일반국도28호선,28,03,경상북도,포항시 북구,47113,경상북도 포항시 북구 흥해읍 대련리, 36.054858, 129.319025, 36.055201, 129.319071,40,28,0,0,4,N,라멘교,2024,2024-12-20,A,정기점검,미적용,N,,,DB-24,43.2,,부산청 포항사무소,054-260-2570,2024-12-31
남산육교,99,일반국도,일반국도31호선,31,03,경상북도,청송군,47750,경상북도 청송군 청송읍 청운리, 36.387095, 129.079006, 36.386928, 129.079177,13.8,12.7,0,0,2,N,기타,2024,2024-12-20,A,정기점검,미적용,N,,,DB-24,43.2,,부산청 포항사무소,054-260-2570,2024-12-31
의성2교(하),02,일반국도,일반국도5호선,5,02,경상북도,의성군,47730,경상북도 의성군 의성읍 철파리, 36.356320, 128.684175, 36.357657, 128.684708,156,10,0.9,4,2,Y,RC슬래브교,1981,2024-12-22,A,정기점검,미적용,N,,,DB-24,43.2,3,부산청 영주사무소,054-630-0080,2024-12-31
세촌교(하),02,일반국도,일반국도5호선,5,02,경상북도,의성군,47730,경상북도 의성군 단촌면 세촌리, 36.428907, 128.666232, 36.430012, 128.666202,154,9.5,1,6.1,2,Y,PSCI거더교,1985,2024-12-22,A,정기점검,미적용,N,,,DB-24,43.2,4.1,부산청 영주사무소,054-630-0080,2024-12-31
송리교,02,일반국도,일반국도5호선,5,03,경상북도,안동시,47170,경상북도 안동시 일직면 운산리, 36.479687, 128.658259, 36.481429, 128.656993,226.7,9.5,0.5,5.7,4,N,PSCI거더교,1997,2024-12-22,A,정기점검,미적용,N,,,DB-24,43.2,3.7,부산청 영주사무소,054-630-0080,2024-12-31
남후교,03,일반국도,일반국도5호선,5,03,경상북도,안동시,47170,경상북도 안동시 남후면 무릉리, 36.516593, 128.680817, 36.516825, 128.680749,25.2,20,1.2,6.9,4,N,PSCI거더교,1997,2024-12-22,B,정기점검,미적용,N,,,DB-24,43.2,,부산청 영주사무소,054-630-0080,2024-12-31
수철교,99,일반국도,일반국도5호선,5,03,경상북도,영주시,47210,경상북도 영주시 풍기읍 수철리, 36.903099, 128.465757, 36.903147, 128.465628,10,27,17,7,2,N,라멘교,1993,2024-12-22,B,정기점검,미적용,N,,,DB-24,43.2,,부산청 영주사무소,054-630-0080,2024-12-31
희방교,99,일반국도,일반국도5호선,5,03,경상북도,영주시,47210,경상북도 영주시 풍기읍 수철리, 36.904534, 128.459627, 36.904536, 128.459487,13.4,20.9,10.9,5.2,2,N,라멘교,1995,2024-12-22,B,정기점검,미적용,N,,,DB-24,43.2,,부산청 영주사무소,054-630-0080,2024-12-31
소흔교,99,일반국도,일반국도5호선,5,03,경상북도,영주시,47210,경상북도 영주시 풍기읍 수철리, 36.902691, 128.450045, 36.902657, 128.449927,8,17,7,6.8,2,N,RC슬래브교,1994,2024-12-22,B,정기점검,미적용,N,,,DB-24,43.2,,부산청 영주사무소,054-630-0080,2024-12-31
경진교,02,일반국도,일반국도28호선,28,03,경상북도,예천군,47900,경상북도 예천군 개포면 동송리, 36.601941, 128.416805, 36.597988, 128.419079,475,10,1.5,7,2,N,PSCI거더교,1991,2024-12-22,A,정기점검,미적용,N,,,DB-24,43.2,5,부산청 영주사무소,054-630-0080,2024-12-31
어신교,03,일반국도,일반국도28호선,28,03,경상북도,예천군,47900,경상북도 예천군 지보면 송평리, 36.580242, 128.414406, 36.579917, 128.414251,33,10.5,1.4,4.5,2,N,라멘교,1989,2024-12-22,B,정기점검,미적용,N,,,DB-18(성능개선),32.4,,부산청 영주사무소,054-630-0080,2024-12-31
노달교,99,일반국도,일반국도31호선,31,03,경상북도,영양군,47760,경상북도 영양군 입암면 노달리, 36.573896, 129.089984, 36.574051, 129.089927,16.4,11,1.5,2.8,2,N,라멘교,1985,2024-11-30,A,정기점검,미적용,N,,,DB-18(성능개선),32.4,,부산청 영주사무소,054-630-0080,2024-12-31
1입암교,02,일반국도,일반국도31호선,31,03,경상북도,영양군,47760,경상북도 영양군 입암면 신구리, 36.608899, 129.083297, 36.610322, 129.083472,153.4,10,1.5,5.6,2,N,PSCI거더교,1985,2024-11-30,A,정기점검,미적용,N,,,DB-24,43.2,3.6,부산청 영주사무소,054-630-0080,2024-12-31
감천1교,02,일반국도,일반국도31호선,31,03,경상북도,영양군,47760,경상북도 영양군 영양읍 감천리, 36.641096, 129.090971, 36.642676, 129.091486,180.9,10,1.5,5.9,2,N,PSCI거더교,1987,2024-11-30,A,정기점검,미적용,N,,,DB-24,43.2,3.9,부산청 영주사무소,054-630-0080,2024-12-31
감천2교,02,일반국도,일반국도31호선,31,03,경상북도,영양군,47760,경상북도 영양군 영양읍 감천리, 36.646773, 129.096893, 36.646489, 129.099028,199.7,10,1.5,6.6,2,N,PSCI거더교,1987,2024-11-30,A,정기점검,미적용,N,,,DB-18(성능개선),32.4,4.6,부산청 영주사무소,054-630-0080,2024-12-31
일월교,03,일반국도,일반국도31호선,31,03,경상북도,영양군,47760,경상북도 영양군 일월면 도계리, 36.701744, 129.125576, 36.701830, 129.126024,26.6,12.5,1.5,5,2,N,라멘교,1995,2024-11-30,B,정기점검,미적용,N,,,DB-24,43.2,7.5,부산청 영주사무소,054-630-0080,2024-12-31
덕봉교,03,일반국도,일반국도31호선,31,03,경상북도,영양군,47760,경상북도 영양군 일월면 칠성리, 36.726158, 129.153536, 36.726711, 129.153477,63.6,12,1,3.5,2,N,RC슬래브교,1995,2024-11-30,B,정기점검,미적용,N,,,DB-24,43.2,,부산청 영주사무소,054-630-0080,2024-12-31
칠성교,03,일반국도,일반국도31호선,31,03,경상북도,영양군,47760,경상북도 영양군 일월면 칠성리, 36.734602, 129.151242, 36.734488, 129.152251,90,10.5,1,4,2,N,RC슬래브교,1995,2024-11-30,B,정기점검,미적용,N,,,DB-24,43.2,,부산청 영주사무소,054-630-0080,2024-12-31
와구교,03,일반국도,일반국도31호선,31,03,경상북도,영양군,47760,경상북도 영양군 일월면 칠성리, 36.746465, 129.161105, 36.747112, 129.161336,78,10,1.5,6,2,N,RC슬래브교,1988,2024-11-30,B,정기점검,미적용,N,,,DB-18(성능개선),32.4,,부산청 영주사무소,054-630-0080,2024-12-31
